Date,Store,Department,Revenue,Quantity,day_of_week,is_weekend,is_holiday,day_of_month,is_month_start,is_month_end,Revenue_growth,cumulative_Revenue,Revenue_per_day_of_week,Revenue_lag_1,Revenue_lag_7,Revenue_7day_rolling
2022-01-10,ABC,Beverages,296844.916,1079.0,0,0,0,10,0,0,-0.2131430919221532,158456905.72371405,354874.90183043893,377254.0,273919.0,401881.74268714286
2022-01-10,ABC,Grocery,453291.304,2214.609,0,0,0,10,0,0,0.5270307139098853,158910197.02771404,354874.90183043893,296844.916,234528.3818,433133.58871571434
2022-01-10,ABC,Household,322876.95192,1144.0,0,0,0,10,0,0,-0.2877053914980906,159233073.97963405,354874.90183043893,453291.304,547398.99801,401059.01070285717
2022-01-10,XYZ,Beverages,196261.029,903.0,0,0,0,10,0,0,-0.39214915207503553,159429335.00863406,354874.90183043893,322876.95192,315307.384,384052.38856
2022-01-10,XYZ,Grocery,557654.852,3089.55,0,0,0,10,0,0,1.8413937032807461,159986989.86063406,354874.90183043893,196261.029,300299.09,420817.4974171429
2022-01-10,XYZ,Household,272036.0,1057.0,0,0,0,10,0,0,-0.5121785473140651,160259025.86063406,354874.90183043893,557654.852,741539.429,353745.5789885715
2022-01-11,ABC,Beverages,299901.0,1359.0,1,0,0,11,0,0,0.10243129585790123,160558926.86063406,376486.0646607745,272036.0,377254.0,342695.1504171429
2022-01-11,ABC,Grocery,606151.751,2881.708,1,0,0,11,0,0,1.0211728236984872,161165078.61163405,376486.0646607745,299901.0,296844.916,386881.84113142855
2022-01-11,ABC,Household,305017.0,1101.0,1,0,0,11,0,0,-0.4967976261772772,161470095.61163405,376486.0646607745,606151.751,453291.304,365699.7977028572
2022-01-11,XYZ,Beverages,248616.0,932.0,1,0,0,11,0,0,-0.18491100496037927,161718711.61163405,376486.0646607745,305017.0,322876.95192,355091.0902857143
2022-01-11,XYZ,Grocery,622561.39301,3378.658,1,0,0,11,0,0,1.50410831567558,162341273.00464404,376486.0646607745,248616.0,196261.029,415991.14228714287
2022-01-11,XYZ,Household,274953.911005,1154.0,1,0,0,11,0,0,-0.5583505272056222,162616226.91564903,376486.0646607745,622561.39301,557654.852,375605.2935735714
2022-01-12,ABC,Beverages,196014.5,950.0,2,0,0,12,0,0,-0.28710052065258496,162812241.41564903,375731.7458731569,274953.911005,272036.0,364745.07928785717
2022-01-12,ABC,Grocery,432843.686,2204.186,2,0,0,12,0,0,1.2082227896405624,163245085.10164902,375731.7458731569,196014.5,299901.0,383736.8915735714
2022-01-12,ABC,Household,272431.0,949.0,2,0,0,12,0,0,-0.3706018851341174,163517516.10164902,375731.7458731569,432843.686,606151.751,336062.49857357144
2022-01-12,XYZ,Beverages,178756.44796,837.0,2,0,0,12,0,0,-0.3438468898179723,163696272.549609,375731.7458731569,272431.0,305017.0,318025.2768535715
2022-01-12,XYZ,Grocery,509834.515,2899.544,2,0,0,12,0,0,1.8521181798940467,164206107.064609,375731.7458731569,178756.44796,248616.0,355342.2075678572
2022-01-12,XYZ,Household,219909.677,940.0,2,0,0,12,0,0,-0.568664595020602,164426016.74160898,375731.7458731569,509834.515,622561.39301,297820.53385214286
2022-01-13,ABC,Beverages,333398.25,1414.0,3,0,0,13,0,0,0.5160690268305019,164759414.99160898,416594.60445696174,219909.677,274953.911005,306169.7251371429
2022-01-13,ABC,Grocery,577075.995,2705.301,3,0,0,13,0,0,0.7308908939983938,165336490.98660898,416594.60445696174,333398.25,196014.5,360607.0815657143
2022-01-13,ABC,Household,319568.0,1146.0,3,0,0,13,0,0,-0.446228914789637,165656058.98660898,416594.60445696174,577075.995,432843.686,344424.8407085714
2022-01-13,XYZ,Beverages,181156.09,855.0,3,0,0,13,0,0,-0.433121933360036,165837215.076609,416594.60445696174,319568.0,272431.0,331385.5678514285
2022-01-13,XYZ,Grocery,554760.784,3058.627,3,0,0,13,0,0,2.0623358232119053,166391975.860609,416594.60445696174,181156.09,178756.44796,385100.47299999994
2022-01-13,XYZ,Household,248185.0,957.0,3,0,0,13,0,0,-0.552626993187031,166640160.860609,416594.60445696174,554760.784,509834.515,347721.9708571429
2022-01-14,ABC,Beverages,192949.538,866.0,4,0,1,14,0,0,-0.2225576162942966,166833110.39860898,443157.94457545097,248185.0,219909.677,343870.5224285714
2022-01-14,ABC,Grocery,421828.536,2187.497,4,0,1,14,0,0,1.1862116923026789,167254938.934609,443157.94457545097,192949.538,333398.25,356503.4204285714
2022-01-14,ABC,Household,194229.0,799.0,4,0,1,14,0,0,-0.5395546213118214,167449167.934609,443157.94457545097,421828.536,577075.995,301810.99257142853
2022-01-14,XYZ,Beverages,270562.06,1078.0,4,0,1,14,0,0,0.3930054729211394,167719729.994609,443157.94457545097,194229.0,319568.0,294810.144
2022-01-14,XYZ,Grocery,504860.738,2859.478,4,0,1,14,0,0,0.8659701881335469,168224590.732609,443157.94457545097,270562.06,181156.09,341053.6651428571
2022-01-14,XYZ,Household,233850.0,987.0,4,0,1,14,0,0,-0.5368029589181482,168458440.732609,443157.94457545097,504860.738,554760.784,295209.2674285714
