Date,Store,Department,Revenue,Quantity,day_of_week,is_weekend,is_holiday,day_of_month,is_month_start,is_month_end,Revenue_growth,cumulative_Revenue,Revenue_per_day_of_week,Revenue_lag_1,Revenue_lag_7,Revenue_7day_rolling,Profile,Size
2022-01-08,XYZ,Grocery,673586.920995,3516.559,5,1,0,8,0,0,1.011391280010542,155369814.52490404,419304.4207309235,334886.07,365463.076,455569.1154297143,2,2
2022-01-08,XYZ,Household,273919.0,1148.0,5,1,0,8,0,0,-0.5933427573157507,155643733.52490404,419304.4207309235,673586.920995,612576.152,407189.522286857,2,2
2022-01-09,ABC,Beverages,234528.3818,1052.0,6,1,0,9,0,0,-0.1438038916614035,155878261.90670404,430633.82457928616,273919.0,241198.39901,406236.6626854286,1,1
2022-01-09,ABC,Grocery,547398.99801,2760.462,6,1,0,9,0,0,1.334041593638796,156425660.90471405,430633.82457928616,234528.3818,398422.556,427519.011544,1,1
2022-01-09,ABC,Household,315307.384,1152.0,6,1,0,9,0,0,-0.4239898407811117,156740968.28871405,430633.82457928616,547398.99801,623447.951,383498.93054400006,1,1
2022-01-09,XYZ,Beverages,300299.09,1159.0,6,1,0,9,0,0,-0.0475989296844376,157041267.37871405,430633.82457928616,315307.384,304865.759003,382846.54925785714,2,2
2022-01-09,XYZ,Grocery,741539.429,4164.643,6,1,0,9,0,0,1.4693362507358914,157782806.80771405,430633.82457928616,300299.09,334886.07,440939.88625785714,2,2
2022-01-09,XYZ,Household,377254.0,1458.0,6,1,0,9,0,0,-0.4912556429956201,158160060.80771405,430633.82457928616,741539.429,673586.920995,398606.61183,2,2
2022-01-10,ABC,Beverages,296844.916,1079.0,0,0,0,10,0,0,-0.2131430919221532,158456905.72371405,354874.90183043893,377254.0,273919.0,401881.74268714286,1,1
2022-01-10,ABC,Grocery,453291.304,2214.609,0,0,0,10,0,0,0.5270307139098853,158910197.02771404,354874.90183043893,296844.916,234528.3818,433133.5887157144,1,1
2022-01-10,ABC,Household,322876.95192,1144.0,0,0,0,10,0,0,-0.2877053914980906,159233073.97963405,354874.90183043893,453291.304,547398.99801,401059.0107028572,1,1
2022-01-10,XYZ,Beverages,196261.029,903.0,0,0,0,10,0,0,-0.3921491520750355,159429335.00863406,354874.90183043893,322876.95192,315307.384,384052.38856,2,2
2022-01-10,XYZ,Grocery,557654.852,3089.55,0,0,0,10,0,0,1.841393703280746,159986989.86063406,354874.90183043893,196261.029,300299.09,420817.4974171429,2,2
2022-01-10,XYZ,Household,272036.0,1057.0,0,0,0,10,0,0,-0.5121785473140651,160259025.86063406,354874.90183043893,557654.852,741539.429,353745.5789885715,2,2
