Date,Store,Department,Revenue,day_of_week,is_weekend,is_holiday,day_of_month,is_month_start,is_month_end,Revenue_growth,cumulative_Revenue,Revenue_per_day_of_week,Previous_day_revenue,Revenue_from_7_days_ago,7_day_rolling_average_of_revenue,Profile,Size,Quantity
2022-01-31,XYZ,Grocery,0.2190919003064955,0.0,0.0,0.0,0.9999999999999999,0.0,1.0,0.5441176470588235,0.7097182156518955,0.0,0.015474033279576221,0.04769647310993268,0.29210359607751424,1.0,1.0,2996.91
2022-01-31,XYZ,Household,0.06314750982918653,0.0,0.0,0.0,0.9999999999999999,0.0,1.0,0.05514705882352941,0.7106484477651624,0.0,0.2190919003064955,0.32161048666910985,0.1465543715248414,1.0,1.0,1141.0
2022-02-01,ABC,Beverages,0.1472722528674194,0.16666666666666666,0.0,0.0,0.0,1.0,0.0,0.2591911764705882,0.7121271739629206,0.24479401706148707,0.06314750982918653,0.08621836346728666,0.18093588386189263,0.0,0.0,1672.0
2022-02-01,ABC,Grocery,0.3049325760315688,0.16666666666666666,0.0,0.0,0.0,1.0,0.0,0.27941176470588236,0.7146338468918226,0.24479401706148707,0.1472722528674194,0.029033083156108405,0.33630418049611377,0.0,0.0,3482.13
2022-02-01,ABC,Household,0.1135364526799073,0.16666666666666666,0.0,0.0,0.0,1.0,0.0,0.058823529411764705,0.7158926153676295,0.24479401706148707,0.3049325760315688,0.20827259146737348,0.2829550819223633,0.0,0.0,1363.0
2022-02-01,XYZ,Beverages,0.06276795520753743,0.16666666666666666,0.0,0.0,0.0,1.0,0.0,0.10294117647058823,0.716820372781335,0.24479401706148707,0.1135364526799073,0.08743263594938248,0.269065559738058,1.0,1.0,1152.0
2022-02-01,XYZ,Grocery,0.3327671172862816,0.16666666666666666,0.0,0.0,0.0,1.0,0.0,0.5,0.7195085271706415,0.24479401706148707,0.06276795520753743,0.015474033279576221,0.44774399196384185,1.0,1.0,4131.39
2022-02-01,XYZ,Household,0.10279521334446272,0.16666666666666666,0.0,0.0,0.0,1.0,0.0,0.04779411764705882,0.7206972626689577,0.24479401706148707,0.3327671172862816,0.2190919003064955,0.3822534129013011,1.0,1.0,1340.0
2022-02-02,ABC,Beverages,0.15593448328757598,0.3333333333333333,0.0,0.0,0.03333333333333333,0.0,0.0,0.20404411764705882,0.7222324666872995,0.23624979384488753,0.10279521334446272,0.06314750982918653,0.43450487375441427,0.0,0.0,1652.0
2022-02-02,ABC,Grocery,0.2580683917173624,0.3333333333333333,0.0,0.0,0.03333333333333333,0.0,0.0,0.22977941176470587,0.7244335847111582,0.23624979384488753,0.15593448328757598,0.1472722528674194,0.49689793263315896,0.0,0.0,3256.29
2022-02-02,ABC,Household,0.11345742321833817,0.3333333333333333,0.0,0.0,0.03333333333333333,0.0,0.0,0.07169117647058823,0.7256918379141617,0.23624979384488753,0.2580683917173624,0.3049325760315688,0.38907180411797493,0.0,0.0,1432.0
2022-02-02,XYZ,Beverages,0.12184749762074966,0.3333333333333333,0.0,0.0,0.03333333333333333,0.0,0.0,0.15808823529411764,0.7270047945126346,0.23624979384488753,0.11345742321833817,0.1135364526799073,0.39375203669373915,1.0,1.0,1392.0
2022-02-02,XYZ,Grocery,0.34914617871232706,0.3333333333333333,0.0,0.0,0.03333333333333333,0.0,0.0,0.3584558823529411,0.729799740495808,0.23624979384488753,0.12184749762074966,0.06276795520753743,0.5550212807121185,1.0,1.0,4251.35
2022-02-02,XYZ,Household,0.11653718028025646,0.3333333333333333,0.0,0.0,0.03333333333333333,0.0,0.0,0.051470588235294115,0.7310780737772538,0.23624979384488753,0.34914617871232706,0.3327671172862816,0.43325491062841004,1.0,1.0,1545.0
2022-02-03,ABC,Beverages,0.1933718864090631,0.5,0.0,0.0,0.06666666666666668,0.0,0.0,0.22242647058823528,0.7328573700021119,0.6991116300480806,0.11653718028025646,0.10279521334446272,0.4842616768158746,0.0,0.0,1912.0
2022-02-03,ABC,Grocery,0.35163443199665456,0.5,0.0,0.0,0.06666666666666668,0.0,0.0,0.25735294117647056,0.7356685394537548,0.6991116300480806,0.1933718864090631,0.15593448328757598,0.5944669333134803,0.0,0.0,3987.2
2022-02-03,ABC,Household,0.14778011302119926,0.5,0.0,0.0,0.06666666666666668,0.0,0.0,0.06433823529411765,0.7371505769043029,0.6991116300480806,0.35163443199665456,0.2580683917173624,0.5323598765683365,0.0,0.0,1546.0
2022-02-03,XYZ,Beverages,0.1636611048032331,0.5,0.0,0.0,0.06666666666666668,0.0,0.0,0.1636029411764706,0.7387361585647196,0.6991116300480806,0.14778011302119926,0.11345742321833817,0.5606312711011506,1.0,1.0,1702.0
2022-02-03,XYZ,Grocery,0.37130545421502853,0.5,0.0,0.0,0.06666666666666668,0.0,0.0,0.306985294117647,0.7416755832589105,0.6991116300480806,0.1636611048032331,0.12184749762074966,0.7011094353086483,1.0,1.0,4469.12
2022-02-03,XYZ,Household,0.09740704394931728,0.5,0.0,0.0,0.06666666666666668,0.0,0.0,0.03860294117647059,0.7428291878441001,0.6991116300480806,0.37130545421502853,0.34914617871232706,0.5593466448510594,1.0,1.0,1352.0
2022-02-04,ABC,Beverages,0.20577846175573106,0.6666666666666666,0.0,0.0,0.1,0.0,0.0,0.2628676470588235,0.7446893750522847,1.0,0.09740704394931728,0.11653718028025646,0.6096014219490874,0.0,0.0,1391.0
2022-02-04,ABC,Grocery,0.1909440680428337,0.6666666666666666,0.0,0.0,0.1,0.0,0.0,0.14154411764705882,0.7464528418794653,1.0,0.20577846175573106,0.1933718864090631,0.6082342355801663,0.0,0.0,2511.9
2022-02-04,ABC,Household,0.10092228776507096,0.6666666666666666,0.0,0.0,0.1,0.0,0.0,0.09007352941176469,0.7476293658860862,1.0,0.1909440680428337,0.35163443199665456,0.4670497840861597,0.0,0.0,1121.0
2022-02-04,XYZ,Beverages,0.22878549675675575,0.6666666666666666,0.0,0.0,0.1,0.0,0.0,0.28125,0.7496395591702952,1.0,0.10092228776507096,0.14778011302119926,0.5126666435439796,1.0,1.0,1757.0
2022-02-04,XYZ,Grocery,0.3693394127201432,0.6666666666666666,0.0,0.0,0.1,0.0,0.0,0.23529411764705882,0.7525661652561806,1.0,0.22878549675675575,0.1636611048032331,0.6284910266098852,1.0,1.0,4477.32
2022-02-04,XYZ,Household,0.11914528510290619,0.6666666666666666,0.0,0.0,0.1,0.0,0.0,0.04779411764705882,0.7538615033700489,1.0,0.3693394127201432,0.37130545421502853,0.48649113452969617,1.0,1.0,1509.0
2022-02-05,ABC,Beverages,0.21019098510756867,0.8333333333333333,1.0,0.0,0.13333333333333333,0.0,0.0,0.23529411764705882,0.7557504602703449,0.7298063138741027,0.11914528510290619,0.09740704394931728,0.5500035739813404,0.0,0.0,1743.0
2022-02-05,ABC,Grocery,0.2797671260956189,0.8333333333333333,1.0,0.0,0.13333333333333333,0.0,0.0,0.19485294117647056,0.7580930542037703,0.7298063138741027,0.21019098510756867,0.20577846175573106,0.5916690881723045,0.0,0.0,2963.92
2022-02-05,ABC,Household,0.08610526345601484,0.8333333333333333,1.0,0.0,0.13333333333333333,0.0,0.0,0.051470588235294115,0.759172971078057,0.7298063138741027,0.2797671260956189,0.1909440680428337,0.5326308259580638,0.0,0.0,1143.0
